UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rolands Ozolins,@rolandsozolins,2021-02-02T15:48:13.000Z,"@ActiveCampaign
 Any update on Zapier issue?  What are you doing to fix this? I guess I do not need to describe the impact of this on your customers. Zapier Issue ""Bug in version 1.8.0 -- Users unable to connect new or reconnect current ActiveCampaign accounts in Zapier
#153""",,,1,,1,[],https://twitter.com/rolandsozolins/status/1356630510622146560
James Sowers,@jamesrsowers,2021-02-03T23:44:13.000Z,"Replying to 
@MonicaGrohne
 and 
@zapier","Welcome to the community!

Fair warning: Zapier automations are amazing when they work, but they break or have errors semi-frequently, especially with multi-step automations that have dependencies.

Definitely take a ""trust, but verify"" approach and don't ignore the error alerts.",,2,,6,[],https://twitter.com/jamesrsowers/status/1357112689160564736
CryptoSquirrel,@HodlMyNutz,2021-02-03T20:41:32.000Z,"@zapier
 Hey guys! Is email the only way of getting support? My zaps have suddenly stopped delivering leads etc via texts and it's a huge issue right now. Emailed yesterday, but haven't heard anything yet. Thanks!",,,2,,2,[],https://twitter.com/HodlMyNutz/status/1357066712772927491
𝗦𝘁𝘂𝗮𝗿𝘁 𝗕𝗿𝘂𝗰𝗲 𝙋𝙍 𝙁𝙪𝙩𝙪𝙧𝙞𝙨𝙩,@stuartbruce,2021-02-03T09:54:26.000Z,"Replying to 
@drewb","Microsoft Business 365. I thought it would be simple using Power Flow or Zapier, but fell at first hurdle as Google Calendar link is a 404 error in browser. It's probably something simple as I only have the iPad for when I need to use iOS as everything is Windows/Android.",🚀,,,,[],https://twitter.com/stuartbruce/status/1356903866000891909
Chris Colotti,@ccolotti,2021-02-04T17:45:23.000Z,"My only issue with 
@Calendly
 is there is only 2 
@zapier
 triggers and no actions, yet Zapier integration is not included in the free plan….with only 2 actions, 
@Calendly
 should just include zapier on the free plan…#MakeItSo",,,1,,1,[],https://twitter.com/ccolotti/status/1357384771010183169
Jonathan Moisan,@djomoisan,2021-02-04T12:52:19.000Z,"@typeformhelp
 Why the sudden change? Or is it just a bug? Anyway, now I have to modify my 100+ Zaps (Zapier automations)... not cool.",,,3,,,[],https://twitter.com/djomoisan/status/1357311018272178176
Steve Perry,@stevemarkperry,2021-02-04T10:33:42.000Z,"Replying to 
@stevemarkperry
 and 
@wpmark","that there's a track record of everything basically. The JQL filters also allow me to build dashboards of specific issue types.

Automation varies per project. Starts with simple Trello card buttons (add to Jira) through to board-wide Butler automations, and Zapier processes",,1,,,[],https://twitter.com/stevemarkperry/status/1357276135931994114
Andrew Davison,@AndrewJDavison,2021-02-04T10:25:53.000Z,"Replying to 
@HodlMyNutz
 and 
@zapier",You can also get help at http://community.zapier.com - but this issue sounds like one support need to take a look at.,,,,,['https://pbs.twimg.com/card_img/1365276512426016769/MWbX3JHp?format=png&name=360x360'],https://twitter.com/AndrewJDavison/status/1357274167427629059
markcliff,@leinster51,2021-02-05T23:02:17.000Z,"Replying to 
@leinster51
 @moseskagan
 and 
@TheRealEstateG6","3.) The liked of zapier should do well in the next 10 years.

I never even thought this was an issue!",,,,1,[],https://twitter.com/leinster51/status/1357826911716728832
Tiago Almeida,@_tiagoalmeida,2021-02-05T21:12:57.000Z,"Replying to 
@jorilallo
 and 
@linear_app",The only action that I saw on zapier was “create issue”. If I hd an “update issue” on zapier maybe I could do it?,,2,,1,[],https://twitter.com/_tiagoalmeida/status/1357799397883580418
GEMS,@tokensFA,2021-02-05T00:18:06.000Z,"Replying to 
@itstrichome","I still don't know where to find $FEG. Link?

$COMBO is very interesting. An issue is the FDV (eg. VC greed). Automation software in the traditional world is pretty big - eg. RPAs like UIPath, or Zapier on the web. Automating DeFi is likely as big, if not bigger.

Need to think.",,3,,4,[],https://twitter.com/tokensFA/status/1357483601521164288
Vinny Green,@vinnysgreen,2021-02-06T18:06:12.000Z,"Replying to 
@RyanAvenue
 and 
@airtablestatus","All of my 
@zapier
 zaps connected to 
@airtable
 started failing. I think there is an issue for sure.",,1,,1,[],https://twitter.com/vinnysgreen/status/1358114788870508546
Bryan Glanz,@BryanGlanz,2021-02-06T16:34:09.000Z,"Replying to 
@michaelpatron0","Never used that, but in my experience....it’s not the apis being available that is the problem. It’s just human error and ensuring that your vendors, shippers etc aren’t stupid and know how to enter in data too haha. Email, zapier, apis and a spreadsheet tool tend to be enough",,,,1,[],https://twitter.com/BryanGlanz/status/1358091623695962113
Tom Osman,@tomosman,2021-02-07T14:17:15.000Z,"Replying to 
@pauldm
 @Natalie_Furn
 and 3 others","Yup but 
@AndrewJDavison
 is by far the expert here.

High level, if you need more granular control over your data + error handling then Integromat. But may not be needed.",,,,2,[],https://twitter.com/tomosman/status/1358419560098054146
garrulous gibbon,@gibbonposting,2021-02-08T23:49:18.000Z,"Replying to 
@PrimatesDaily",youve got an issue with your zapier integration my guy,,,,,[],https://twitter.com/gibbonposting/status/1358925907629543424
Derek J,@derekj_,2021-02-08T15:40:51.000Z,"The error on 
@zapier
 
cc: 
@WebflowSupport
 @ZapierSupport",,,,,,['https://pbs.twimg.com/media/Ettv-4rXUAQyL2y?format=jpg&name=small'],https://twitter.com/derekj_/status/1358802983207772168
Derek J,@derekj_,2021-02-08T15:29:32.000Z,"Hey Webflow and Zapier friends, any of you currently having an issue where Zapier doesn't recognize any existing fields on Webflow? ",,😟,2,,1,[],https://twitter.com/derekj_/status/1358800138416893954
monsuke,@monsuke,2021-02-08T07:48:08.000Z,"Replying to 
@PassKit
 @JotForm
 and 
@zapier","I tried this zap but Zapier retuned the following error massage.  ""thumbnail image: image: unknown format"". Please let me know how can I upload an image from Jetform?",,,,1,[],https://twitter.com/monsuke/status/1358684022151344128
Daniel Wallen,@WebWallen,2021-02-09T17:24:07.000Z,"Replying to 
@typeform","Thanks, I'll reach out.

Deleted a Zapier integration since that's the only difference between this form and two more that work.

But that didn't seem to have any effect, so I have no idea why the bug is only affecting this specific form...",,,,,[],https://twitter.com/WebWallen/status/1359191359228411904
Andrew Davison,@AndrewJDavison,2021-02-10T17:35:14.000Z,"Quite a few people try to dynamically map a Google Sheet in 
@Zapier
 but aren't able to because it *looks* like there is an error.

Good news... there isn't ","How to map dynamically created Google Sheets in Zapier (without the...
If you create a new Google Sheets worksheet in Zapier and then try and write a row to it, you'll get an error. This is how to fix it.
youtube.com",👇,,1,6,['https://pbs.twimg.com/card_img/1367171463690801156/YplXzVro?format=jpg&name=240x240'],https://twitter.com/AndrewJDavison/status/1359556545382645765
Andrew Davison,@AndrewJDavison,2021-02-10T17:19:57.000Z,"40+ error messages from 
@Zapier
.... I guess 
@Airtable
 is broken again ",,😅,6,,17,[],https://twitter.com/AndrewJDavison/status/1359552699784597504
Kieran Tie,@kieran_tie,2021-02-11T19:04:03.000Z,"@jasonwbade
 I'm trying to hook Pico up to Zapier (and then ConvertKit), but keep getting this error on test. Have added multiple test accounts to Pico with no success in Zapier. Any clues on what I'm doing wrong?",,,1,,1,['https://pbs.twimg.com/media/Et97QWBXAAoF4hn?format=jpg&name=small'],https://twitter.com/kieran_tie/status/1359941283423395844
Eric Wright,@discoposse,2021-02-11T02:44:21.000Z,When the Zapier trigger doesn't work and you get a useless error,,,1,,5,['https://pbs.twimg.com/media/Et6bH8oXUAAK6xJ?format=jpg&name=small'],https://twitter.com/discoposse/status/1359694735645036552
Honza Široký,@sir_honza,2021-02-12T19:08:10.000Z,"Even though it's dry February, my virtual pen hasn't dried out and I've put together a post about our incident management, error handling and how the whole workflow operates for 10+ cross-functional teams. https://developers.mews.com/incident-management/… 
@youtrack
 @getsentry
 @zapier
 @pagerduty","Incident management for 10+ cross-functional teams
Incident management is one of the best indicators of technical organization maturity and is one of my favorite interview questions. How well a company handles their incidents tells a lot about...
developers.mews.com",,,9,19,['https://pbs.twimg.com/card_img/1365383468423725058/8kGpU4-o?format=jpg&name=small'],https://twitter.com/sir_honza/status/1360304708015902727
Dave Cook,@DaveCookUK,2021-02-12T14:20:17.000Z,"@zapier
 Is there an issue with webhooks at the moment? I've set up webhooks on several accounts and fired payloads at them but none of them have been received or triggered the Zaps.",,,1,,1,[],https://twitter.com/DaveCookUK/status/1360232259115180034
Badgr Team,@BadgrTeam,2021-02-13T21:00:00.000Z,"Issue badges with Badgr with new JotForm submissions | Browse this automation and more on our new 
@zapier
 integration page: #digitalbadges #microcredentials #nocode 
@JotForm
 https://hubs.ly/H0GfdcG0",,,,,3,['https://pbs.twimg.com/media/EuIpG_4WgAA0HgF?format=jpg&name=small'],https://twitter.com/BadgrTeam/status/1360695239204364288
GG,@luck1d1y,2021-02-13T00:52:09.000Z,"Replying to 
@whit4th
 @carrd
 and 4 others",I cannot receive any SMS on my phone after subscribing it. Does anyone have the same issue?,,,,,[],https://twitter.com/luck1d1y/status/1360391275820830724
Zach,@zachjarr,2021-02-15T23:22:36.000Z,"Replying to 
@aronkor
 and 
@webflow","I can send you the error code when I get back to my Mac! 

Just trying to use webhooks via Zapier
Airtable Button -> Zapier Webhook -> Create Live Item in Webflow.",,1,,1,[],https://twitter.com/zachjarr/status/1361455901903900673
nickselman,@nickselman,2021-02-15T17:34:57.000Z,"I always find out about services being down from Integromat error emails.

e.g. They tell me that 
@airtable
 is 502’ing long before Airtable’s own status page.

Idea for 
@integromat
 @zapier
: build a better, free http://statuspage.io competitor. You already own the hardest part.",,,1,,5,[],https://twitter.com/nickselman/status/1361368412103073796
VYB Digital,@VybDigital,2021-02-15T10:56:14.000Z,"Continued...
5. Connect sources like Twitter, Facebook, Instagram, Pocket.
6. Collect valuable feedback from your readers with each issue.
7. Sync your (un)subscribers with other services using Zapier.
8. Get help whenever you’re stuck with something.",,,1,,,[],https://twitter.com/VybDigital/status/1361268075375509504
Badgr Team,@BadgrTeam,2021-02-16T21:00:05.000Z,"Issue badges with Badgr to new Teachable course completers | Browse this automation and more on our new 
@zapier
 integration page: #digitalbadges #microcredentials #nocode 
@teachable
 https://hubs.ly/H0Gfd9K0",,,,,3,['https://pbs.twimg.com/media/EuYF5ohXYAArcVb?format=jpg&name=small'],https://twitter.com/BadgrTeam/status/1361782426444398600
Zin Min Phyo,@zin_min_phyo,2021-02-16T02:51:25.000Z,"I got Euro 600 + 100 USD Bounty
Thank you 
@YogoshaOfficial
 
Thank you Zapier Security Team

Bug type:
403 Bypass
Rate Limint
Informations Disclosure,etc

#BugBounty",,,1,3,15,"['https://pbs.twimg.com/media/EuUMrWNWQAA2VZS?format=jpg&name=small', 'https://pbs.twimg.com/media/EuUMtIgXYAEbOoQ?format=jpg&name=medium']",https://twitter.com/zin_min_phyo/status/1361508455266271235
Mike Taylor,@tmiket,2021-02-17T14:00:18.000Z," Hot off the press: “L&D Toolbox - Issue #123” 

5 options for working smarter in Gmail: 
@Zapier
@Box
@Dropbox
@Trello
@Zoom_us
https://getrevue.co/profile/ldtoolbox/archive/382152… #WorkSmarter",,🔥,,,1,[],https://twitter.com/tmiket/status/1362039170252886019
Luke Chesser,@lukechesser,2021-02-18T02:07:10.000Z,"Replying to 
@lukechesser
 @scotty_webb
 and 2 others","So you know, we have talked with Zapier and we're big fans of their product, but the issue has been that once they provide their users with access to the Unsplash API, we lose the ability to enforce certain API guidelines, like attribution",,1,,,[],https://twitter.com/lukechesser/status/1362222091450343425
