UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Action Bastard,@OneTrueKayla,2021-03-03T17:45:18.000Z,I use to have this same issue. Now I’m like super gay,"Quote Tweet
(in)correct damie
@incorrect_damie
 · Mar 3",✨ ✨,,4,29,"['https://pbs.twimg.com/profile_images/1319968672228790273/hbcUioeQ_mini.jpg', 'https://pbs.twimg.com/media/EvkozB8XAA0ZxRd?format=jpg&name=small', 'https://pbs.twimg.com/media/EvkozNxXUAAK4lY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvkozkIXYAERQ2k?format=jpg&name=360x360']",https://twitter.com/OneTrueKayla/status/1367169224083460099
dannyandmike,@dannyandmike,2021-03-03T17:43:49.000Z,"New #nostalgiadump minisode up today! We look at the Holiday '93 issue of #nickelodeonmagazine and we Meet the Petes! 
@dtamberelli
 @michaelcmaronna
 @remybalon
 @LastPodNetwork
 Spotify: https://buff.ly/3qhoQvo",,,1,1,9,['https://pbs.twimg.com/media/Evko0r0XAAkDRV5?format=jpg&name=small'],https://twitter.com/dannyandmike/status/1367168850631008265
Giavana Margo,@giavanam,2021-03-03T17:43:39.000Z,"UPCOMING EVENT 
On March 9 
@OpenSociety
 and 
@AWID
 are hosting an incredible panel to discuss why #drugpolicy is a #feminist issue and to lift up how women, trans and gender-diverse people are building feminist drug policies and practices. Register here 
http://osf.to/feministdrugpolicy…",,‼ ➡,,7,10,['https://pbs.twimg.com/media/EvkoiMkXcAQBl0P?format=png&name=small'],https://twitter.com/giavanam/status/1367168810768363527
Legal Services NYC,@LSNYCnews,2021-03-03T17:42:08.000Z,Homeowner protection is a racial justice issue. NYS Legislature must #FundHopp!,"Quote Tweet
Center for NYC Neighborhoods
@CNYCN
 · Mar 3
Communities of color, particularly Black and Latinx homeowners & neighborhoods, are more at risk of losing their homes and have been disproportionately impacted by the COVID crisis — THREAD
Show this thread",,,2,6,"['https://pbs.twimg.com/profile_images/629287345355923457/owVl9Lgg_mini.jpg', 'https://pbs.twimg.com/media/EvkYwapXcAAAoWA?format=jpg&name=small']",https://twitter.com/LSNYCnews/status/1367168425869664264
Caro,@montecarlolyna,2021-03-03T17:41:47.000Z,If I don’t get to see Harry styles live there’s gonna b an issue,,,1,,2,[],https://twitter.com/montecarlolyna/status/1367168338955300866
Caelan,@transputation,2021-03-03T17:40:28.000Z, elated to have a couple poems in this issue!,"Quote Tweet
Hayden's Ferry Review
@haydensferryrev
 · Feb 23
COVER REVEAL: At last, we have a cover reveal for those patiently waiting for our HAUNTED issue. We're so thrilled to have Angela Deane as our cover artist!
Show this thread",👀 💞,,1,13,"['https://pbs.twimg.com/profile_images/1305918745500512257/Y2b7oN4U_mini.jpg', 'https://pbs.twimg.com/media/Eu7tcBhUUAoTIFA?format=jpg&name=small']",https://twitter.com/transputation/status/1367168009689849856
alva,@alvareputation,2021-03-03T17:30:01.000Z,"The UK Legal sector has a moderately positive #ESG profile entering 2021, with diversity & inclusion efforts leading the issue impact list with a positive impact of 46%.
 Download our UK Legal Sector ESG Intelligence Report: https://bit.ly/389egjM",,👉,,,,['https://pbs.twimg.com/media/EvkgZh_XEAAaRsk?format=jpg&name=small'],https://twitter.com/alvareputation/status/1367165378082783235
sam,@papichulx_esq,2021-03-03T17:29:57.000Z,"Cuomo needs to RESIGN...investigation is to find if he and his enablers broke laws, not whether it's ok for someone to act like that at work. it's never ok. he could continue to victimize while we wait for this investigation. this is a workers' rights issue.",,🗣,,,1,[],https://twitter.com/papichulx_esq/status/1367165363339853826
Kofi Fosu Forson,@ParaMetaThinker,2021-03-03T17:29:22.000Z,"My collaboration with the late Dianne Bowen continues to gain attraction posthumously. Here's a link to the latest issue of 
@arteidolia
 swifts and slows - where another installment of our Dismember the Night Thread Poems and images appear. http://arteidolia.com/dismember-the-night-thread-slams-dianne-bowen-kofi-fosu-forson/?fbclid=IwAR3nYnfo6-qz5cssn0RLGS1jsZknenKILzu1zYmRcNopXQblJWutYzsc8Bg…",,,,1,2,['https://pbs.twimg.com/media/EvkldBTXIAEX_kP?format=jpg&name=small'],https://twitter.com/ParaMetaThinker/status/1367165216111415302
Chestnut Review,@ChestnutReview,2021-03-03T17:28:02.000Z,"Thanks for the call out, 
@Duotrope
! Now accepting submissions for the summer issue and the Stubborn Writers contest!","Quote Tweet
Duotrope
@Duotrope
 · Mar 3
Today's listing of the day is: Chestnut Review (some fees). https://duotrope.com/listing/26798/chestnut-review… #WritingCommunity",,,,9,"['https://pbs.twimg.com/profile_images/2532831735/bysvkm5jp0pmrkp21a57_mini.png', 'https://pbs.twimg.com/media/Evj3dmuVEAIN5O5?format=png&name=small']",https://twitter.com/ChestnutReview/status/1367164877177987077
Jake Banas,@JakeOfTheFuture,2021-03-03T17:25:45.000Z,"Couldn't be more proud to work with a top-notch team. On Jan 20th Grist launched The First 100 newsletter, today we hit 4,000 subscribers! Just 1,000 more to reach our goal! 

Check out the latest issue from 
@shannonosaka
, and sign up today!","The First 100 – Joe and Justin’s Parisian bromance
President Biden met (virtually) with Canadian Prime Minister Justin Trudeau to talk climate, trade, and COVID-19.
grist.org",🎊,,3,6,['https://pbs.twimg.com/card_img/1365366416367521800/JxwiHqFB?format=jpg&name=small'],https://twitter.com/JakeOfTheFuture/status/1367164304093573124
(((Melody is a Frannie stan))),@MelodyPuppyDog,2021-03-03T17:25:41.000Z,I now have bros and bots harassing me after I specifically said I wasn’t going to debate an issue because it is triggering. I also have a man telling me I do not know what rape is FFS,,,1,1,3,[],https://twitter.com/MelodyPuppyDog/status/1367164288834625537
