UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Neellohit,@NeellohitS,2021-01-19T16:26:52.000Z,"@clarifai
 is there any issue with your servers currently ? My website is suddenly not working except for the NSFW model.",,,,,,[],https://twitter.com/NeellohitS/status/1351566809749602304
Future of AI,@future_of_AI,2021-02-12T17:51:01.000Z,"Issue 78 https://buff.ly/3rJfWrI  via 
@clarifai","Issue 78 | DeepLearning.AI
Dear friends, Over the last several decades, driven by a multitude of benchmarks, supervised learning algorithms have become really good at achieving high accuracy on test datasets. As valuable as...
deeplearning.ai",,,,,['https://pbs.twimg.com/card_img/1367668884396998656/Smf8VAtw?format=png&name=small'],https://twitter.com/future_of_AI/status/1360285294088638467
Franck Jones,@franchescino,2021-02-13T19:42:25.000Z,"@BobTroia
 Hi Bob, we're looking at your React Native + Clarifai demo - I've got a nice bounty if you can help us with a bug / get this running for our app. DM me for deets if interested, could really use your help.",,,1,,,[],https://twitter.com/franchescino/status/1360675714509508617
