UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
DMC∞,@daniishaa0817,2021-02-02T22:25:34.000Z,"Replying to 
@hulu",Hi I have a problem with my acount in Hulu I can’t watch movies in your platform appear fastly error I you check that please thanks,♥,1,,,[],https://twitter.com/daniishaa0817/status/1356730505710997504
Garrick Williams,@GarrickWillia12,2021-02-02T20:41:17.000Z,"@WarrenBuffett
 @BeckyQuick
 hey not sure but they must have put a BUG on my computers. Sorry CNBC only able to watch BLOOMBERG. And I'm not paying for HULU to watch just CNBC. lol -  by the way tell ( SPACEEX STARSHIP ) ends IN ( FIREBALL ). Well that's life as well. But intere",,,1,,1,[],https://twitter.com/GarrickWillia12/status/1356704263154536448
Chris Matthews,@ChrisLMatthews,2021-02-02T19:07:23.000Z,"Replying to 
@peterjrios","I'm up to 16 on my rewatch.  I'm able to pop an in on hulu at 
.  Now I have sime time to reread LoSH issue 27 for the legion podcast.  How do you find the time?",🌙,1,,,[],https://twitter.com/ChrisLMatthews/status/1356680633909735425
melanin monroe,@curlycity,2021-02-02T16:48:13.000Z,"Replying to 
@BloggedByRain","Nobody wants to pay for BET+ was the issue 
I had it but it wasn’t worth it. Hulu be $2. Lol",💋 😂,,,,[],https://twitter.com/curlycity/status/1356645611936878593
"Chuck Staples (@
)",Chuck Staples (@,2021-02-02T16:05:46.000Z,"Replying to 
@hulu_support","Yet another occurrence of the issue today.  Glad that tech support gets us up and running quickly each time, but these continual disruptions are intolerable. Your ""NOT AT HOME"" detection process is BROKEN and needs to be fixed.",🏠,1,,,[],https://twitter.com/cjstaples/status/1356634928423780357
BRYAN,@bryanjhomy,2021-02-02T07:07:15.000Z,"Replying to 
@hulu_support","Nope, not a device issue. Your platform is the only one that does it. Thanks for looking into it ",,,,,[],https://twitter.com/bryanjhomy/status/1356499404698476544
Frèjē,@Frejeeeee,2021-02-02T05:34:47.000Z,"Replying to 
@AMythicWitch
 and 
@mulletp0wer","go for it. it’s only 6 bucks a month and half the time i watch it more than prime, hulu, netflix or hbomax. yes i have an issue with irresponsible tv watching. lol",,1,,2,[],https://twitter.com/Frejeeeee/status/1356476137208123392
Christine B,@cbrod22,2021-02-02T03:05:30.000Z,"Replying to 
@hulu_support",No error message just keeps freezing and skipping. 85747. The help section did not change anything,,1,,,[],https://twitter.com/cbrod22/status/1356438566964850688
Josh,@projectrallus,2021-02-02T02:47:01.000Z,"@hulu_support
 I can't log into support to submit a refund request because of a Single Sign-On Error.",,,1,,,[],https://twitter.com/projectrallus/status/1356433913955180544
NHLtoSeattle,@NHLtoSeattle,2021-02-02T01:22:30.000Z,"Replying to 
@SEAKrakenTroll
 and 
@isaacada1","The whole MVPD model is the issue, including HULU+, Fubo, and YoutubeTV. IT's really no different than comcast. There is literally no other RSN that sells a standalone sub.",,2,,,[],https://twitter.com/NHLtoSeattle/status/1356412645042081795
